stop_id,stop_name,stop_lat,stop_lon
mxa_T07C01_STP_20,Calle Paseo de las Araucarias,20.74073,-103.3647
mxa_T07C01_STP_21,Avenida de los Tabachines,20.73908,-103.36248
mxa_T07C01_STP_23,Salvador Gonzalez,20.73462,-103.36155
mxa_T07C01_STP_24,Calle Rafael Vega Sánchez,20.72861,-103.36361
mxa_T07C01_STP_25,Calle General Salvador Gonzalez,20.72683,-103.36395
mxa_T07C01_STP_26,Calle General Salvador Gonzalez,20.72376,-103.36453
mxa_T07C01_STP_27,Calle Aldama,20.72306,-103.36401
mxa_T07C01_STP_28,Calle Manzano Briseño,20.72126,-103.36348
mxa_T07C01_STP_29,Avenida Atemajac,20.72067,-103.36145
mxa_T07C01_STP_30,Avenida Enrique Díaz de León,20.71936,-103.36134
mxa_T07C01_STP_31,Avenida Enrique Díaz de León,20.71665,-103.36159
mxa_T07C01_STP_32,Lomas del Mar,20.71398,-103.36144
mxa_T07C01_STP_37,Avenida Enrique Díaz de León Norte,20.69916,-103.35797
mxa_T07C01_STP_38,Avenida Enrique Díaz de León Norte,20.69641,-103.35824
mxa_T07C01_STP_39,Avenida Enrique Díaz de León Norte,20.69356,-103.35853
mxa_T07C01_STP_40,Avenida Enrique Díaz de León Norte,20.6889,-103.35907
mxa_T07C01_STP_41,Avenida Enrique Díaz de León Norte,20.68654,-103.35918
mxa_T07C01_STP_42,Avenida Enrique Díaz de León Norte,20.67825,-103.35944
mxa_T07C01_STP_51,Mezquite,20.65368,-103.37179
mxa_T07C01_STP_53,San Salvador,20.65029,-103.37294
mxa_T07C01_STP_54,San Salvador,20.64978,-103.37199
mxa_T07C01_STP_55,Perú,20.6479,-103.37127
mxa_T07C01_STP_56,Carabelas,20.6473,-103.37283
mxa_T07C01_STP_57,Calle Reyes Catolicos,20.64523,-103.37466
mxa_T07C01_STP_59,Calle Isla Indias,20.64201,-103.3775
mxa_T07C01_STP_60,Calle Isla Indias,20.63932,-103.3783
mxa_T07C01_STP_61,Isla Raza,20.63242,-103.38113
mxa_T07C01_STP_66,Avenida de los Ahuehuetes,20.62026,-103.38922
mxa_T07C01_STP_67,Calle Ciclamor,20.61894,-103.38695
mxa_T07C01_STP_68,Juan Jimenez Mendez,20.61657,-103.38292
mxa_T07C01_STP_69,Guillermo Baca,20.61596,-103.38189
mxa_T07C01_STP_70,Andrés Tamayo,20.60908,-103.37772
mxa_T07C01_STP_71,Andrés Tamayo,20.60938,-103.37807
mxa_T07C01_STP_72,Andrés Tamayo,20.60984,-103.37985
mxa_T07C01_STP_73,Andrés Tamayo,20.61002,-103.38109
mxa_T07C01_STP_74,Miguel de Ávila,20.61152,-103.38127
mxa_T07C01_STP_75,Miguel de Ávila,20.612,-103.38196
mxa_T07C01_STP_76,Miguel Bravo,20.61389,-103.38158
mxa_T07C01_STP_78,Juan Jimenez Mendez,20.61605,-103.38163
mxa_T07C01_STP_79,Manuel Trillo,20.61776,-103.38443
mxa_T07C01_STP_80,Calle Jose Marquez,20.6184,-103.38554
mxa_T07C01_STP_81,Avenida de los Ahuehuetes,20.61947,-103.38736
mxa_T07C01_STP_85,18 de Marzo,20.63841,-103.37659
mxa_T07C01_STP_86,Avenida Cristóbal Colón,20.64231,-103.37326
mxa_T07C01_STP_87,Avenida Fray Andrés de Urdaneta,20.64314,-103.37389
mxa_T07C01_STP_88,Calle Reyes Catolicos,20.64407,-103.37373
mxa_T07C01_STP_89,Carabelas,20.64605,-103.372
mxa_T07C01_STP_90,Calle Bolivia,20.64756,-103.37075
mxa_T07C01_STP_91,San Salvador,20.64926,-103.37085
mxa_T07C01_STP_92,Avenida Cruz del Sur,20.65082,-103.37371
mxa_T07C01_STP_93,Avenida Cruz del Sur,20.65273,-103.37242
mxa_T07C01_STP_94,Calzada Lázaro Cárdenas,20.65352,-103.3722
mxa_T07C01_STP_95,Pelicano,20.65504,-103.37305
mxa_T07C01_STP_96,Durazno,20.65604,-103.37264
mxa_T07C01_STP_99,Calle Roble,20.65854,-103.36826
mxa_T07C04_STP_01,Crisantemo,20.59933,-103.39028
mxa_T07C04_STP_02,Santuario Mártires de Cristo Rey,20.61282,-103.39573
mxa_T07C04_STP_07,Avenida Tabachines,20.62056,-103.40504
mxa_T07C04_STP_08,Avenida Tabachines,20.62296,-103.4035
mxa_T07C04_STP_09,Avenida Tabachines,20.62559,-103.40281
mxa_T07C04_STP_10,Avenida Patria,20.62825,-103.40209
mxa_T07C04_STP_103,Río Verde,20.62573,-103.40299
mxa_T07C04_STP_104,Avenida Tabachines,20.62272,-103.40379
mxa_T07C04_STP_105,Los Pinitos,20.62076,-103.40503
mxa_T07C04_STP_106,Avenida Tabachines,20.62067,-103.40716
mxa_T07C04_STP_12,Avenida Jaime Torres Bodet,20.62435,-103.39617
mxa_T07C04_STP_14,Avenida Jaime Torres Bodet,20.62293,-103.39375
mxa_T07C04_STP_16,Calle Isla Zanzibar,20.62365,-103.39194
mxa_T07C04_STP_22,Avenida Isla Gomera,20.63307,-103.39216
mxa_T07C04_STP_25,Avenida Isla Gomera,20.63664,-103.39152
mxa_T07C04_STP_26,Avenida Isla Pantenaria,20.63727,-103.39309
mxa_T07C04_STP_27,Avenida Cruz del Sur,20.63762,-103.3945
mxa_T07C04_STP_28,Avenida Rosario Castellanos,20.63952,-103.39154
mxa_T07C04_STP_29,Avenida Lapizlázuli,20.64091,-103.38977
mxa_T07C04_STP_31,Avenida Cruz del Sur,20.64525,-103.38283
mxa_T07C04_STP_32,Avenida Cruz del Sur,20.64652,-103.38017
mxa_T07C04_STP_34,Avenida del Mercado,20.6518,-103.38055
mxa_T07C04_STP_35,Avenida del Mercado,20.65397,-103.38047
mxa_T07C04_STP_43,Calle Fresno,20.65689,-103.36917
mxa_T07C04_STP_48,Colonia Americana,20.6714,-103.35927
mxa_T07C04_STP_56,Calle Santa Mónica,20.67958,-103.34884
mxa_T07C04_STP_57,Calle San Felipe,20.67952,-103.35027
mxa_T07C04_STP_69,Calle Pino,20.65632,-103.37019
mxa_T07C04_STP_70,Calle Pino,20.65702,-103.37206
mxa_T07C04_STP_71,Calle Pino,20.65777,-103.37405
mxa_T07C04_STP_74,Calle Pino,20.65903,-103.37735
mxa_T07C04_STP_75,Pelicano,20.65777,-103.37863
mxa_T07C04_STP_76,Calle Piña,20.65727,-103.37884
mxa_T07C04_STP_78,Avenida del Mercado,20.65647,-103.38047
mxa_T07C04_STP_79,Avenida del Mercado,20.65448,-103.38066
mxa_T07C04_STP_88,Avenida Isla Pantenaria,20.63747,-103.3946
mxa_T07C04_STP_91,Avenida Isla Gomera,20.63412,-103.39207
mxa_T07C04_STP_95,Avenida Jesús Reyes Heroles,20.62859,-103.39097
mxa_T07C04_STP_97,Calle Isla Zanzibar,20.62509,-103.39171
mxa_T07_STP_01,Agua Prieta,20.74785,-103.34959
mxa_T07_STP_02,Calle Abel Salgado Velasco,20.74768,-103.34814
mxa_T07_STP_03,Calle Abel Salgado Velasco,20.74584,-103.34706
mxa_T07_STP_04,Piedra Bola,20.74477,-103.34842
mxa_T07_STP_05,Brillante,20.74469,-103.34998
mxa_T07_STP_06,Brillante,20.74506,-103.35142
mxa_T07_STP_08,Rubi,20.74476,-103.35389
mxa_T07_STP_104,Av. Cristobal Colón Norte,20.60536,-103.39958
mxa_T07_STP_108,Santuario Mártires de Cristo Rey,20.61288,-103.39577
mxa_T07_STP_113,Avenida del Tesoro,20.62018,-103.40722
mxa_T07_STP_118,Avenida Tabachines,20.63036,-103.4015
mxa_T07_STP_119,Avenida Tabachines,20.63319,-103.40079
mxa_T07_STP_122,Avenida Cruz del Sur,20.63751,-103.39493
mxa_T07_STP_128,Avenida Cruz del Sur,20.64755,-103.37808
mxa_T07_STP_129,Avenida Cruz del Sur,20.64879,-103.37619
mxa_T07_STP_130,San Salvador,20.6508,-103.37394
mxa_T07_STP_134,Durazno,20.65779,-103.3719
mxa_T07_STP_135,Calle Ciprés,20.6594,-103.37026
mxa_T07_STP_136,Encino,20.65822,-103.36713
mxa_T07_STP_137,Calle Ciprés,20.65745,-103.36513
mxa_T07_STP_138,Avenida Enrique Díaz de León,20.65756,-103.36248
mxa_T07_STP_143,Colonia Americana,20.67145,-103.35929
mxa_T07_STP_155,Avenida Manuel Ávila Camacho,20.70245,-103.35947
mxa_T07_STP_156,Avenida Manuel Ávila Camacho,20.70371,-103.36147
mxa_T07_STP_157,Via Libera,20.70494,-103.36334
mxa_T07_STP_158,La Soledad,20.70613,-103.36296
mxa_T07_STP_162,Avenida Zoquipan,20.7168,-103.36383
mxa_T07_STP_163,Avenida Zoquipan,20.71703,-103.3656
mxa_T07_STP_164,Avenida Zoquipan,20.71813,-103.36977
mxa_T07_STP_168,Avenida Manuel M. Dieguez,20.72887,-103.3677
mxa_T07_STP_169,Avenida Manuel M. Dieguez,20.73069,-103.36728
mxa_T07_STP_17,Salvador Gonzalez,20.7345,-103.36166
mxa_T07_STP_18,Calle General Salvador Gonzalez,20.73214,-103.36292
mxa_T07_STP_183,Cantera Blanca,20.74498,-103.35146
mxa_T07_STP_184,Brillante,20.74467,-103.35017
mxa_T07_STP_185,Piedra Bola,20.74477,-103.3487
mxa_T07_STP_187,Calle Abel Salgado Velasco,20.74743,-103.34783
mxa_T07_STP_188,Calle Abel Salgado Velasco,20.74793,-103.34961
mxa_T07_STP_19,Avenida Obreros de Cananea,20.73046,-103.36499
mxa_T07_STP_20,Avenida Manuel M. Dieguez,20.72923,-103.3678
mxa_T07_STP_21,Avenida Manuel M. Dieguez,20.72784,-103.36805
mxa_T07_STP_22,Avenida Manuel M. Dieguez,20.72513,-103.36855
mxa_T07_STP_23,Avenida Manuel M. Dieguez,20.72285,-103.36903
mxa_T07_STP_24,De Alvarado,20.72067,-103.36942
mxa_T07_STP_25,José María de Yermo y Parres,20.71831,-103.3699
mxa_T07_STP_26,Calle Laguna de Alvarado,20.71773,-103.36835
mxa_T07_STP_27,Avenida Zoquipan,20.71697,-103.36597
mxa_T07_STP_28,Avenida Zoquipan,20.71678,-103.36428
mxa_T07_STP_29,Avenida Zoquipan,20.71646,-103.3617
mxa_T07_STP_30,Lomas Verdes,20.71387,-103.36138
mxa_T07_STP_31,Avenida Enrique Díaz de León Norte,20.71073,-103.36047
mxa_T07_STP_32,Mercaderes,20.70714,-103.36275
mxa_T07_STP_33,Avenida Manuel Ávila Camacho,20.70451,-103.36334
mxa_T07_STP_34,Avenida Manuel Ávila Camacho,20.70268,-103.36025
mxa_T07_STP_35,Avenida Enrique Díaz de León Norte,20.69864,-103.35799
mxa_T07_STP_36,Tepic,20.69612,-103.35824
mxa_T07_STP_38,Avenida Enrique Díaz de León Norte,20.69103,-103.35884
mxa_T07_STP_39,Avenida Enrique Díaz de León Norte,20.68864,-103.35905
mxa_T07_STP_40,Avenida Enrique Díaz de León Norte,20.68639,-103.35915
mxa_T07_STP_41,Avenida Enrique Díaz de León Norte,20.68307,-103.35925
mxa_T07_STP_42,Avenida Enrique Díaz de León Norte,20.6802,-103.35936
mxa_T07_STP_43,Colonia Americana,20.67733,-103.35942
mxa_T07_STP_45,Colonia Americana,20.67185,-103.35944
mxa_T07_STP_46,Avenida Enrique Díaz de León Sur,20.66952,-103.35947
mxa_T07_STP_47,Colonia Americana,20.6671,-103.35956
mxa_T07_STP_48,Avenida Enrique Díaz de León Sur,20.66475,-103.35964
mxa_T07_STP_49,Avenida Circunvalación Agustín Yáñez,20.66144,-103.361
mxa_T07_STP_50,Avenida Enrique Díaz de León Sur,20.65773,-103.3626
mxa_T07_STP_51,Calle Ciprés,20.65705,-103.36373
mxa_T07_STP_52,Calle Fresno,20.65597,-103.36634
mxa_T07_STP_53,Cedro,20.65491,-103.36889
mxa_T07_STP_54,Guatemala,20.65252,-103.37274
mxa_T07_STP_55,Avenida Cruz del Sur,20.65104,-103.37392
mxa_T07_STP_56,Panamá,20.64921,-103.3759
mxa_T07_STP_57,Calle Reyes Catolicos,20.64788,-103.37794
mxa_T07_STP_58,Avenida Cruz del Sur,20.64694,-103.37987
mxa_T07_STP_64,Avenida Topacio,20.63681,-103.39658
mxa_T07_STP_79,Calle Independencia,20.60244,-103.40612
mxa_T07_STP_80,Anillo Periférico Sur Manuel Gómez Morín,20.60514,-103.40587
mxa_T07_STP_81,Avenida del Deportivo,20.60766,-103.40564
mxa_T07_STP_82,Av. Cristobal Colón,20.60671,-103.40233
mxa_T07_STP_84,Calle Comonfort,20.6033,-103.39836
mxa_T07_STP_88,Arroyo del Real,20.59464,-103.41006
mxa_T07_STP_90,Calle Bahía de La Concepción,20.59415,-103.41542
mxa_T07_STP_91,Avenida Bahía de Todos Los Santos,20.59437,-103.41746
mxa_T07_STP_92,Calle Bahía de Banderas,20.59831,-103.41763
mxa_T07_STP_93,Avenida Agrícola,20.60015,-103.41858
mxa_T07_STP_94,Calle Bahía de Pelícanos,20.59707,-103.41907
mxa_T07_STP_95,Avenida Bahía de Todos Los Santos,20.59452,-103.41897
mxa_T07_STP_96,Calle Bahía de La Concepción,20.59402,-103.4156
mxa_T07_STP_97,Avenida Prolongación Colón,20.59305,-103.41271
mxa_T07_STP_98,Los Cajetes,20.59377,-103.41112
mxa_T07_STP_99,El Real,20.59581,-103.40775
mxa_T11B_STP_02,Calle Papel Mate,20.64275,-103.23021
mxa_T11B_STP_03,Jardines de La Reina,20.64429,-103.22955
mxa_T11B_STP_04,Jardines de La Reina,20.64407,-103.2274
mxa_T11B_STP_10,Av. Reforma,20.65211,-103.22839
mxa_T11B_STP_101,Pleyades,20.64336,-103.4117
mxa_T11B_STP_102,Estrella Polar,20.64177,-103.41422
mxa_T11B_STP_103,Amado Nervo,20.64113,-103.41517
mxa_T11B_STP_104,Volcan Etna,20.63978,-103.41728
mxa_T11B_STP_106,Volcán Vesubio,20.63977,-103.41949
mxa_T11B_STP_107,Volcán Ajusco,20.64235,-103.42011
mxa_T11B_STP_108,Volcán Cofre de Perote,20.64402,-103.42073
mxa_T11B_STP_109,Av. Moctezuma,20.64971,-103.42228
mxa_T11B_STP_11,Avenida Juárez,20.65246,-103.23136
mxa_T11B_STP_110,Avenida Patria,20.6512,-103.42232
mxa_T11B_STP_116,Avenida Manuel J. Clouthier,20.6606,-103.42228
mxa_T11B_STP_117,Avenida Patria,20.65665,-103.42327
mxa_T11B_STP_12,Rancho de La Cruz,20.65257,-103.23248
mxa_T11B_STP_120,Ciudadela,20.64946,-103.42258
mxa_T11B_STP_121,Av. El Colli,20.64529,-103.4213
mxa_T11B_STP_122,Volcán Ajusco,20.64266,-103.42056
mxa_T11B_STP_123,Av. Mariano Otero,20.63897,-103.41954
mxa_T11B_STP_125,Estrella Polar,20.64123,-103.41453
mxa_T11B_STP_126,Pleyades,20.6426,-103.41238
mxa_T11B_STP_127,Prado de los Cedros,20.64408,-103.41001
mxa_T11B_STP_132,Ambar,20.65013,-103.39969
mxa_T11B_STP_135,Av. de las Rosas,20.65476,-103.39164
mxa_T11B_STP_137,Av. Paseo de la Arboleda,20.65796,-103.38611
mxa_T11B_STP_139,Calzada Lázaro Cárdenas,20.65832,-103.38242
mxa_T11B_STP_142,Pelicano,20.65502,-103.37307
mxa_T11B_STP_143,Eucalipto,20.65577,-103.37177
mxa_T11B_STP_147,Calle Roble,20.66043,-103.36756
mxa_T11B_STP_15,Río Seco,20.63339,-103.24393
mxa_T11B_STP_152,Avenida España,20.65956,-103.35332
mxa_T11B_STP_159,Calle Los Ángeles,20.66369,-103.34697
mxa_T11B_STP_16,De la Paz,20.63091,-103.24459
mxa_T11B_STP_163,Calle Los Ángeles,20.66023,-103.33632
mxa_T11B_STP_164,Avenida 5 de Febrero,20.65802,-103.33454
mxa_T11B_STP_165,TLAPALERIA MAGAÑA,20.65638,-103.33111
mxa_T11B_STP_17,Policia,20.62932,-103.24506
mxa_T11B_STP_173,Avenida Río Nilo,20.64763,-103.31616
mxa_T11B_STP_174,Fenix,20.64676,-103.31357
mxa_T11B_STP_178,Avenida Río Nilo,20.64523,-103.30302
mxa_T11B_STP_18,Avenida Tonaltecas,20.62825,-103.24542
mxa_T11B_STP_180,Calle Diego Durán,20.64495,-103.29673
mxa_T11B_STP_181,Avenida Río Nilo,20.64455,-103.2931
mxa_T11B_STP_183,Avenida Río Nilo,20.64453,-103.28534
mxa_T11B_STP_184,Avenida Río Nilo,20.64407,-103.28233
mxa_T11B_STP_185,Avenida Río Nilo,20.64335,-103.28038
mxa_T11B_STP_19,Tonaltecas,20.62626,-103.24603
mxa_T11B_STP_195,Circuito Loma Norte,20.62894,-103.26253
mxa_T11B_STP_197,Avenida Río Nilo,20.62728,-103.25825
mxa_T11B_STP_20,Tonaltecas,20.6262,-103.24624
mxa_T11B_STP_21,Calle 2,20.62664,-103.24775
mxa_T11B_STP_23,Circuito Loma Norte,20.62634,-103.25131
mxa_T11B_STP_27,Loma Dorada Norte,20.62927,-103.25749
mxa_T11B_STP_31,Glorieta Arcos de Loma Dorado,20.63138,-103.26637
mxa_T11B_STP_34,Avenida Río Nilo,20.63421,-103.27172
mxa_T11B_STP_37,Av. Malecón,20.64078,-103.27673
mxa_T11B_STP_39,Avenida Río Nilo,20.64357,-103.28037
mxa_T11B_STP_40,Avenida Río Nilo,20.64432,-103.28234
mxa_T11B_STP_41,Avenida Río Nilo,20.64468,-103.28582
mxa_T11B_STP_42,Avenida Río Nilo,20.64424,-103.28829
